TPR	FPR	Precision	F1	Range	Length
0.901655385372	0.000555057002864	0.997503894453	0.947160954763	89-100	24
0.899298154788	0.000568154360946	0.997438466175	0.94582933891	91-102	24
0.897954313053	0.00057583212258	0.997400065661	0.945068321637	93-104	24
0.896915222312	0.000574025590431	0.997405206328	0.944494816023	95-106	24
0.895960580642	0.000574928856506	0.99739837199	0.943962182403	97-108	24
0.893959504835	0.000575380489543	0.997390520667	0.942846880757	99-110	24
0.893227000938	0.000580800085991	0.997363851974	0.942427412013	101-112	24
0.891613289346	0.000571315792207	0.997402106655	0.941545500368	103-114	24
0.890833053366	0.000592994177999	0.99730144115	0.941065470205	105-116	24
0.88830692464	0.000605188270006	0.99723829211	0.939626027027	107-118	24
0.886561031894	0.000618285628088	0.997173152173	0.938619542232	109-120	24
0.883445595522	0.000642222179066	0.997053710729	0.936817903962	111-122	24
0.878395173919	0.000659835867522	0.996955799712	0.933927755808	113-124	24
0.874405873249	0.000674288124716	0.996875183136	0.93163291752	115-126	24
0.869131478024	0.000701837739992	0.996728255743	0.928567015435	117-128	24
0.866168417149	0.000735710217791	0.996559204287	0.926800138291	119-130	24
0.861303416332	0.000754227172321	0.996453057167	0.923962246501	121-132	24
0.858252234688	0.000775905558112	0.996338557673	0.922154684635	123-134	24
0.856304398511	0.00080661660465	0.996185561946	0.920963780249	125-136	24
0.852853001706	0.000851779908382	0.995956616164	0.91886647652	127-138	24
0.84616133077	0.000885652386181	0.995763398441	0.914886986417	129-140	24
0.840433480752	0.000926750992577	0.995537597697	0.911433887247	131-142	24
0.586886160817	0.000730742254381	0.994964192232	0.73828818738	133-144	24
0.57172938846	0.000713128565925	0.994955336034	0.726176999012	135-146	24
0.568830582313	0.000743387979425	0.99471575514	0.723770992491	137-148	24
0.566399917754	0.000801648641239	0.99427967399	0.721685512582	139-150	24
0.904333889596	0.000259688996458	0.998834078172	0.949237820594	1-14	28
0.925662787517	0.000294464740331	0.998708570772	0.960799333825	3-16	28
0.926657817873	0.000372597255787	0.998368217223	0.961177352138	5-18	28
0.929424442866	0.000415502394333	0.998186062652	0.96257882233	7-20	28
0.937366327218	0.000451633037318	0.998045309721	0.966754615416	9-22	28
0.937537061209	0.000471956523997	0.997957899509	0.966804394023	11-24	28
0.938651421774	0.000473763056147	0.997952527526	0.967394039616	13-26	28
0.938644078376	0.000475569588296	0.997944720195	0.967386471355	15-28	28
0.937588464991	0.000477376120445	0.997934610996	0.96682079557	17-30	28
0.936833930902	0.000462923863251	0.997995404097	0.966447986425	19-32	28
0.935451536331	0.000463827129326	0.99798853839	0.965708659589	21-34	28
0.935220219311	0.000470149991848	0.997960670922	0.965572339597	23-36	28
0.932844630232	0.000470149991848	0.997955488169	0.964302218005	25-38	28
0.932347115055	0.000468795092736	0.997960282495	0.96403856868	27-40	28
0.930951869537	0.00045976243199	0.997996512594	0.963309052536	29-42	28
0.925414947853	0.000451633037318	0.998020115625	0.96034719424	31-44	28
0.921715711382	0.000448471606057	0.99802607254	0.958354211106	33-46	28
0.9186296486	0.000451181404281	0.998007511224	0.956674855892	35-48	28
0.913509464721	0.000442600376572	0.998034398034	0.953903163287	37-50	28
0.911523075709	0.000439890578348	0.998042159896	0.952822603085	39-52	28
0.907390578788	0.000431761183676	0.998069537052	0.950572397048	41-54	28
0.904183349948	0.000423631789004	0.998099109743	0.948822917469	43-56	28
0.903212185634	0.000421825256855	0.998105169196	0.94829066707	45-58	28
0.901925255229	0.00042272852293	0.998098415143	0.947577845328	47-60	28
0.899992105848	0.000414147495221	0.998132949472	0.946525385768	49-62	28
0.898721698087	0.000423180155967	0.998089614804	0.94580287176	51-64	28
0.897374184653	0.000429503018489	0.998058220709	0.945042070096	53-66	28
0.896399348641	0.000419567091668	0.998100996721	0.944520369742	55-68	28
0.894721382321	0.000416405660407	0.998111750767	0.94359287118	57-70	28
0.893647410443	0.00042272852293	0.998080834591	0.942981483293	59-72	28
0.894234882239	0.000419567091668	0.998096408995	0.943315400317	61-74	28
0.89466814269	0.000420018724706	0.998095284909	0.943555905356	63-76	28
0.898293945185	0.000435374247975	0.998033740523	0.9455408714	65-78	28
0.899564352946	0.000446665073907	0.997985694151	0.946222584834	67-80	28
0.9009981513	0.000457504266803	0.997940190283	0.946994693681	69-82	28
0.902755059142	0.00045298793643	0.997964443723	0.947975173672	71-84	28
0.906074274794	0.000474666322221	0.997875033361	0.949761522867	73-86	28
0.907456669365	0.000488215313341	0.997817832407	0.950494478341	75-88	28
0.907148246672	0.000491828377639	0.997800972903	0.950317618754	77-90	28
0.903577519657	0.000492731643714	0.997788256473	0.948348865058	79-92	28
0.901115645659	0.000483698982968	0.997822794588	0.947006719904	81-94	28
0.89825172065	0.000484602249042	0.997811798343	0.945417867881	83-96	28
0.896904207216	0.00049002184549	0.997784063639	0.944658536538	85-98	28
0.893271061323	0.000487312047266	0.997787347483	0.942640966255	87-100	28
0.890210700432	0.000504474102684	0.997701745398	0.940896143308	89-102	28
0.887102607457	0.00051531329558	0.997644275238	0.939131769899	91-104	28
0.88686211119	0.000515764928617	0.997641577623	0.938995790769	93-106	28
0.885635763814	0.000514410029505	0.997644509059	0.938309257015	95-108	28
0.88486837878	0.000513958396468	0.997644536069	0.937878403135	97-110	28
0.882472595359	0.000519377992916	0.99761331067	0.936517214036	99-112	28
0.880308128957	0.000512151864319	0.997640665441	0.935308981997	101-114	28
0.879111155171	0.000525249222401	0.997577189331	0.934605085447	103-116	28
0.878224439928	0.00053879821352	0.997512344443	0.934075321569	105-118	28
0.876118720707	0.000556863535013	0.997422987454	0.932843873147	107-120	28
0.873509978759	0.000568605993983	0.997360952153	0.931336020819	109-122	28
0.86795653443	0.000584864783327	0.997268376234	0.928130005968	111-124	28
0.863286133646	0.000599317040521	0.99718596588	0.925417604736	113-126	28
0.85795666294	0.000623705224536	0.997053652958	0.922290099988	115-128	28
